VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
APO,2019,AGOSTO,<1_ANIO,933,5690,3650033,159,0.19,0.47950000000000004,3.2899999999999996,0.16749999999999998
APO,2019,DICIEMBRE,<1_ANIO,937,5690,1953340,209,0.197,0.43500000000000005,19.6735,0.21150000000000002
APO,2019,ENERO,<1_ANIO,924,5690,924269,226,0.1985,0.362,0.887,0.269
APO,2019,FEBRERO,<1_ANIO,871,5690,1000320,180,0.1965,0.106,6.9725,0.15
APO,2019,JULIO,<1_ANIO,986,5690,1352080,225,0.29200000000000004,0.3685,14.760000000000002,0.21200000000000002
APO,2019,JUNIO,<1_ANIO,937,5690,1235133,243,0.186,0.438,2.0895,0.21750000000000003
APO,2019,MARZO,<1_ANIO,986,5690,1003216,261,0.293,0.135,3.0425,0.5885
APO,2019,MAYO,<1_ANIO,933,5690,1030125,258,0.22599999999999998,0.35450000000000004,20.503999999999998,0.28200000000000003
APO,2019,NOVIEMBRE,<1_ANIO,936,5690,1813790,234,0.1755,0.405,8.0945,0.21
APO,2019,OCTUBRE,<1_ANIO,986,5690,619318,264,0.243,0.33799999999999997,11.2205,0.247
APO,2019,SETIEMBRE,<1_ANIO,943,5690,85800,299,0.136,0.494,25.7535,0.186
APO,2020,ABRIL,<1_ANIO,1580,2435,815151,51,0.232,0.30325,0.0,0.0
APO,2020,AGOSTO,<1_ANIO,1751,2435,725676,521,0.4885,0.10325000000000001,0.0,0.0
APO,2020,DICIEMBRE,<1_ANIO,1830,2435,161316,671,0.18225,0.2395,0.6012500000000001,0.2155
APO,2020,ENERO,<1_ANIO,1568,2435,777891,670,0.1375,0.31725000000000003,2.623,0.15475
APO,2020,FEBRERO,<1_ANIO,1580,2435,761802,577,0.248,0.28475,6.1290000000000004,0.15725
APO,2020,JULIO,<1_ANIO,1568,2435,804264,531,0.3055,0.188,0.0,0.0
APO,2020,JUNIO,<1_ANIO,1643,2435,718822,234,0.362,0.11199999999999999,0.0,0.0
APO,2020,MARZO,<1_ANIO,1588,2435,751336,410,0.16875,0.19275,2.5940000000000003,0.54175
APO,2020,MAYO,<1_ANIO,1636,2435,710703,106,0.37075,0.134,0.0,0.0
APO,2020,NOVIEMBRE,<1_ANIO,1805,2435,1348304,897,0.14625,0.20275,0.28025,0.19275
APO,2020,OCTUBRE,<1_ANIO,1830,2435,858754,725,0.20825,0.1865,1.8335,0.26075
APO,2020,SETIEMBRE,<1_ANIO,1751,2435,749638,652,0.2045,0.26925,13.869,0.40225
APO,2021,ABRIL,<1_ANIO,1914,2501,268268,580,0.14550000000000002,0.0885,7.37,0.34925
APO,2021,AGOSTO,<1_ANIO,1937,2501,629819,576,0.17675000000000002,0.134,2.82275,0.35325
APO,2021,DICIEMBRE,<1_ANIO,1971,2501,486866,401,0.19225,0.236,2.7015,0.14575
APO,2021,ENERO,<1_ANIO,1830,2501,822309,695,0.19925,0.1495,1.1355,0.14350000000000002
APO,2021,FEBRERO,<1_ANIO,1829,2501,677118,592,0.14775,0.1345,0.18925,0.39025
APO,2021,JULIO,<1_ANIO,1901,2501,647735,578,0.20725000000000002,0.29925,1.5147499999999998,0.18125000000000002
APO,2021,JUNIO,<1_ANIO,1898,2501,696098,539,0.153,0.2985,0.83875,0.5575
APO,2021,MARZO,<1_ANIO,1843,2501,1269741,696,0.20750000000000002,0.20450000000000002,0.3335,0.7835
APO,2021,MAYO,<1_ANIO,1888,2501,694026,598,0.179,0.1975,0.2415,0.15375
APO,2021,NOVIEMBRE,<1_ANIO,1961,2501,811749,555,0.1575,0.16275,7.999250000000001,0.95475
APO,2021,OCTUBRE,<1_ANIO,1894,2501,612818,479,0.2525,0.23825,2.7984999999999998,0.4165
APO,2021,SETIEMBRE,<1_ANIO,1922,2501,681661,665,0.182,0.1995,0.29075,0.139
APO,2022,ABRIL,<1_ANIO,2064,2564,748576,709,0.12275,0.16025,9.15,0.427
APO,2022,AGOSTO,<1_ANIO,1944,2564,779177,668,0.15575,0.3005,4.76575,0.09175
APO,2022,DICIEMBRE,<1_ANIO,2229,2564,996898,543,0.15475,0.1185,13.73575,0.13725
APO,2022,ENERO,<1_ANIO,1990,2564,684081,690,0.17825000000000002,0.186,15.563500000000001,1.33925
APO,2022,FEBRERO,<1_ANIO,2014,2564,910655,643,0.1295,0.1335,0.1925,0.476
APO,2022,JULIO,<1_ANIO,2049,2564,1104057,646,0.1385,0.25475000000000003,3.4695,0.21025000000000002
APO,2022,JUNIO,<1_ANIO,2038,2564,709615,631,0.1545,0.349,0.605,0.15425
APO,2022,MARZO,<1_ANIO,2048,2564,784465,753,0.1215,0.20950000000000002,8.709999999999999,0.428
APO,2022,MAYO,<1_ANIO,2038,2564,760212,657,0.1875,0.0945,7.721500000000001,0.3885
APO,2022,NOVIEMBRE,<1_ANIO,2229,2564,677800,680,0.17325000000000002,0.11075,16.15775,0.12125
APO,2022,OCTUBRE,<1_ANIO,2229,2564,541898,681,0.17825,0.22225,4.15325,0.54825
APO,2022,SETIEMBRE,<1_ANIO,2037,2564,694132,609,0.18875,0.2775,5.024,0.24425000000000002
APO2,2019,ABRIL,4_ANIOS,986,5690,998497,324,0.14450000000000002,0.597,0.877,0.313
APO2,2019,AGOSTO,4_ANIOS,933,5690,3650033,43,0.19,0.47950000000000004,3.2899999999999996,0.16749999999999998
APO2,2019,DICIEMBRE,4_ANIOS,937,5690,1953340,107,0.197,0.43500000000000005,19.6735,0.21150000000000002
APO2,2019,ENERO,4_ANIOS,924,5690,924269,153,0.1985,0.362,0.887,0.269
APO2,2019,FEBRERO,4_ANIOS,871,5690,1000320,132,0.1965,0.106,6.9725,0.15
APO2,2019,JULIO,4_ANIOS,986,5690,1352080,66,0.29200000000000004,0.3685,14.760000000000002,0.21200000000000002
APO2,2019,JUNIO,4_ANIOS,937,5690,1235133,50,0.186,0.438,2.0895,0.21750000000000003
APO2,2019,MARZO,4_ANIOS,986,5690,1003216,158,0.293,0.135,3.0425,0.5885
APO2,2019,MAYO,4_ANIOS,933,5690,1030125,214,0.22599999999999998,0.35450000000000004,20.503999999999998,0.28200000000000003
APO2,2019,NOVIEMBRE,4_ANIOS,936,5690,1813790,108,0.1755,0.405,8.0945,0.21
APO2,2019,OCTUBRE,4_ANIOS,986,5690,619318,184,0.243,0.33799999999999997,11.2205,0.247
APO2,2019,SETIEMBRE,4_ANIOS,943,5690,85800,272,0.136,0.494,25.7535,0.186
APO2,2020,ABRIL,4_ANIOS,1580,2435,815151,40,0.232,0.30325,0.0,0.0
APO2,2020,AGOSTO,4_ANIOS,1751,2435,725676,288,0.4885,0.10325000000000001,0.0,0.0
APO2,2020,DICIEMBRE,4_ANIOS,1830,2435,161316,348,0.18225,0.2395,0.6012500000000001,0.2155
APO2,2020,ENERO,4_ANIOS,1568,2435,777891,287,0.1375,0.31725000000000003,2.623,0.15475
APO2,2020,FEBRERO,4_ANIOS,1580,2435,761802,329,0.248,0.28475,6.1290000000000004,0.15725
APO2,2020,JULIO,4_ANIOS,1568,2435,804264,256,0.3055,0.188,0.0,0.0
APO2,2020,JUNIO,4_ANIOS,1643,2435,718822,88,0.362,0.11199999999999999,0.0,0.0
APO2,2020,MARZO,4_ANIOS,1588,2435,751336,205,0.16875,0.19275,2.5940000000000003,0.54175
APO2,2020,MAYO,4_ANIOS,1636,2435,710703,54,0.37075,0.134,0.0,0.0
APO2,2020,NOVIEMBRE,4_ANIOS,1805,2435,1348304,847,0.14625,0.20275,0.28025,0.19275
APO2,2020,OCTUBRE,4_ANIOS,1830,2435,858754,694,0.20825,0.1865,1.8335,0.26075
APO2,2020,SETIEMBRE,4_ANIOS,1751,2435,749638,697,0.2045,0.26925,13.869,0.40225
APO2,2021,ABRIL,4_ANIOS,1914,2501,268268,210,0.14550000000000002,0.0885,7.37,0.34925
APO2,2021,AGOSTO,4_ANIOS,1937,2501,629819,248,0.17675000000000002,0.134,2.82275,0.35325
APO2,2021,DICIEMBRE,4_ANIOS,1971,2501,486866,163,0.19225,0.236,2.7015,0.14575
APO2,2021,ENERO,4_ANIOS,1830,2501,822309,251,0.19925,0.1495,1.1355,0.14350000000000002
APO2,2021,FEBRERO,4_ANIOS,1829,2501,677118,249,0.14775,0.1345,0.18925,0.39025
APO2,2021,JULIO,4_ANIOS,1901,2501,647735,206,0.20725000000000002,0.29925,1.5147499999999998,0.18125000000000002
APO2,2021,JUNIO,4_ANIOS,1898,2501,696098,225,0.153,0.2985,0.83875,0.5575
APO2,2021,MARZO,4_ANIOS,1843,2501,1269741,247,0.20750000000000002,0.20450000000000002,0.3335,0.7835
APO2,2021,MAYO,4_ANIOS,1888,2501,694026,285,0.179,0.1975,0.2415,0.15375
APO2,2021,NOVIEMBRE,4_ANIOS,1961,2501,811749,224,0.1575,0.16275,7.999250000000001,0.95475
APO2,2021,OCTUBRE,4_ANIOS,1894,2501,612818,230,0.2525,0.23825,2.7984999999999998,0.4165
APO2,2021,SETIEMBRE,4_ANIOS,1922,2501,681661,275,0.182,0.1995,0.29075,0.139
APO2,2022,ABRIL,4_ANIOS,2064,2564,748576,297,0.12275,0.16025,9.15,0.427
