VACUNA,ANIO,MES,PROVINCIA,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,UBIGEO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
AMA,2020,JULIO,ATALAYA,1_ANIO,129,2435,804264,6,250200,0.385,0.333,0.0,0.0
AMA,2020,JULIO,CORONEL PORTILLO,1_ANIO,1239,5742,804264,273,250100,0.295,0.294,0.0,0.0
AMA,2020,JULIO,PADRE ABAD,1_ANIO,183,6159,804264,46,250300,0.542,0.125,0.0,0.0
AMA,2020,JULIO,PURUS,1_ANIO,17,3284,804264,1,250400,0.0,0.0,0.0,0.0
AMA,2020,JUNIO,ATALAYA,1_ANIO,135,2435,718822,17,250200,0.619,0.111,0.0,0.0
AMA,2020,JUNIO,CORONEL PORTILLO,1_ANIO,1296,5742,718822,83,250100,0.323,0.242,0.0,0.0
AMA,2020,JUNIO,PADRE ABAD,1_ANIO,195,6159,718822,22,250300,0.506,0.095,0.0,0.0
AMA,2020,JUNIO,PURUS,1_ANIO,17,3284,718822,6,250400,0.0,0.0,0.0,0.0
AMA,2020,MARZO,ATALAYA,1_ANIO,131,2435,751336,22,250200,0.143,0.207,6.988,0.119
AMA,2020,MARZO,CORONEL PORTILLO,1_ANIO,1256,5742,751336,146,250100,0.27,0.342,2.805,0.371
AMA,2020,MARZO,PADRE ABAD,1_ANIO,184,6159,751336,25,250300,0.262,0.222,0.583,1.677
AMA,2020,MARZO,PURUS,1_ANIO,17,3284,751336,6,250400,0.0,0.0,0.0,0.0
AMA,2020,MAYO,ATALAYA,1_ANIO,132,2435,710703,35,250200,0.552,0.0,0.0,0.0
AMA,2020,MAYO,CORONEL PORTILLO,1_ANIO,1295,5742,710703,18,250100,0.338,0.431,0.0,0.0
AMA,2020,MAYO,PADRE ABAD,1_ANIO,191,6159,710703,4,250300,0.593,0.105,0.0,0.0
AMA,2020,MAYO,PURUS,1_ANIO,18,3284,710703,7,250400,0.0,0.0,0.0,0.0
AMA,2020,NOVIEMBRE,ATALAYA,1_ANIO,172,2435,1348304,134,250200,0.286,0.152,0.218,0.152
AMA,2020,NOVIEMBRE,CORONEL PORTILLO,1_ANIO,1401,5742,1348304,493,250100,0.208,0.384,0.903,0.619
AMA,2020,NOVIEMBRE,PADRE ABAD,1_ANIO,215,6159,1348304,74,250300,0.091,0.275,0.0,0.0
AMA,2020,NOVIEMBRE,PURUS,1_ANIO,17,3284,1348304,11,250400,0.0,0.0,0.0,0.0
AMA,2020,OCTUBRE,ATALAYA,1_ANIO,175,2435,858754,165,250200,0.302,0.0,0.506,0.094
AMA,2020,OCTUBRE,CORONEL PORTILLO,1_ANIO,1409,5742,858754,487,250100,0.173,0.471,6.635,0.26
AMA,2020,OCTUBRE,PADRE ABAD,1_ANIO,229,6159,858754,54,250300,0.358,0.275,0.193,0.689
AMA,2020,OCTUBRE,PURUS,1_ANIO,17,3284,858754,1,250400,0.0,0.0,0.0,0.0
AMA,2020,SETIEMBRE,ATALAYA,1_ANIO,146,2435,749638,61,250200,0.352,0.107,0.26,0.315
AMA,2020,SETIEMBRE,CORONEL PORTILLO,1_ANIO,1379,5742,749638,394,250100,0.148,0.47,14.216,0.433
AMA,2020,SETIEMBRE,PADRE ABAD,1_ANIO,209,6159,749638,54,250300,0.318,0.5,41.0,0.861
AMA,2020,SETIEMBRE,PURUS,1_ANIO,17,3284,749638,0,250400,0.0,0.0,0.0,0.0
AMA,2021,ABRIL,ATALAYA,1_ANIO,166,2501,268268,50,250200,0.129,0.0,0.25,0.083
