VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
AMA,2022,MAYO,1_ANIO,2014,2564,760212,370,0.25,0.126,10.295333333333334,0.518
AMA,2022,NOVIEMBRE,1_ANIO,2204,2564,677800,390,0.231,0.14766666666666667,21.543666666666667,0.16166666666666665
AMA,2022,OCTUBRE,1_ANIO,2204,2564,541898,454,0.23766666666666666,0.29633333333333334,5.5376666666666665,0.731
AMA,2022,SETIEMBRE,1_ANIO,2016,2564,694132,386,0.25166666666666665,0.37000000000000005,6.698666666666667,0.3256666666666667
APO,2019,ABRIL,<1_ANIO,986,5690,998497,245,0.14450000000000002,0.597,0.877,0.313
APO,2019,AGOSTO,<1_ANIO,933,5690,3650033,159,0.19,0.47950000000000004,3.2899999999999996,0.16749999999999998
APO,2019,DICIEMBRE,<1_ANIO,937,5690,1953340,209,0.197,0.43500000000000005,19.6735,0.21150000000000002
APO,2019,ENERO,<1_ANIO,924,5690,924269,226,0.1985,0.362,0.887,0.269
APO,2019,FEBRERO,<1_ANIO,871,5690,1000320,180,0.1965,0.106,6.9725,0.15
APO,2019,JULIO,<1_ANIO,986,5690,1352080,225,0.29200000000000004,0.3685,14.760000000000002,0.21200000000000002
APO,2019,JUNIO,<1_ANIO,937,5690,1235133,243,0.186,0.438,2.0895,0.21750000000000003
APO,2019,MARZO,<1_ANIO,986,5690,1003216,261,0.293,0.135,3.0425,0.5885
APO,2019,MAYO,<1_ANIO,933,5690,1030125,258,0.22599999999999998,0.35450000000000004,20.503999999999998,0.28200000000000003
APO,2019,NOVIEMBRE,<1_ANIO,936,5690,1813790,234,0.1755,0.405,8.0945,0.21
APO,2019,OCTUBRE,<1_ANIO,986,5690,619318,264,0.243,0.33799999999999997,11.2205,0.247
APO,2019,SETIEMBRE,<1_ANIO,943,5690,85800,299,0.136,0.494,25.7535,0.186
