ANIO,MES,PROVINCIA,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA _horas,DEMORA_TRASLADO_horas
2022,12,ATALAYA,0.196,0,0.438,0.25
2019,1,PADRE ABAD,0.263,0.145,0.311,0.25
2019,2,PADRE ABAD,0.254,0,0.288,0.053
2019,3,PADRE ABAD,0.364,0.056,0.358,0.762
2019,4,PADRE ABAD,0.056,0.667,0.5,0.375
2019,5,PADRE ABAD,0.212,0.27,1.58,0.291
2019,6,PADRE ABAD,0.143,0.5,0.905,0.274
2019,7,PADRE ABAD,0.394,0.304,0.167,0.083
2019,8,PADRE ABAD,0.219,0.667,0.31,0.119
2019,9,PADRE ABAD,0.154,0.5,0.528,0.133
2019,10,PADRE ABAD,0.296,0.176,0.331,0.232
2019,11,PADRE ABAD,0.091,0.5,1.278,0.133
2019,12,PADRE ABAD,0.208,0.333,0.42,0.193
2020,1,PADRE ABAD,0.277,0.302,2.883,0.29
2020,2,PADRE ABAD,0.378,0.179,0.635,0.181
2020,3,PADRE ABAD,0.262,0.222,0.583,1.677
2020,4,PADRE ABAD,0.336,0.115,,
2020,5,PADRE ABAD,0.593,0.105,,
2020,6,PADRE ABAD,0.506,0.095,,
2020,7,PADRE ABAD,0.542,0.125,,
2020,8,PADRE ABAD,0.416,0.163,,
2020,9,PADRE ABAD,0.318,0.5,41,0.861
2020,10,PADRE ABAD,0.358,0.275,0.193,0.689
2020,11,PADRE ABAD,0.091,0.275,,
2020,12,PADRE ABAD,0.306,0.381,0.631,0.124
2021,1,PADRE ABAD,0.28,0.185,0.167,0.083
2021,2,PADRE ABAD,0.256,0.345,0.303,0.909
2021,3,PADRE ABAD,0.307,0,0.229,0.875
2021,4,PADRE ABAD,0.25,0,0.222,1.139
2021,5,PADRE ABAD,0.188,0.385,0.292,0.104
2021,6,PADRE ABAD,0.25,0.5,0.444,0.261
2021,7,PADRE ABAD,0.259,0.857,0.278,0.222
2021,8,PADRE ABAD,0.317,0.067,0.167,0.125
2021,9,PADRE ABAD,0.247,0.281,0.442,0.331
2021,10,PADRE ABAD,0.467,0.583,0.128,1.378
2021,11,PADRE ABAD,0.235,0.231,0.167,0.083
2021,12,PADRE ABAD,0.3,0.419,0.306,0.217
2022,1,PADRE ABAD,0.318,0.5,0.25,0.139
2022,2,PADRE ABAD,0.216,0.143,0.3,0.717
2022,3,PADRE ABAD,0.205,0,0.111,0.222
2022,4,PADRE ABAD,0.1,0.25,0.167,1
2022,5,PADRE ABAD,0.236,0.163,27.777,0.625
2022,6,PADRE ABAD,0.2,0.667,,
2022,7,PADRE ABAD,0.15,0.333,0.562,0.054
2022,8,PADRE ABAD,0.277,0.425,0.226,0.19
2022,9,PADRE ABAD,0.395,0.267,0.281,0.233
2022,10,PADRE ABAD,0.174,0.261,0.465,0.396
2022,11,PADRE ABAD,0.265,0.188,1.815,0.215
2022,12,PADRE ABAD,0.24,0,0.352,0.104
2019,1,PURUS,0,0,,
2019,2,PURUS,0.312,0,1,16.167
2019,3,PURUS,0,0,,
2019,4,PURUS,0,0,,
2019,5,PURUS,0,0,,
2019,6,PURUS,0,0,,
2019,7,PURUS,0,0,,
2019,8,PURUS,0.125,0,,
2019,9,PURUS,0,0,0.092,2
2019,10,PURUS,0.241,0,,
2019,11,PURUS,0,0,0.483,0.857
2019,12,PURUS,0,0,,
2020,1,PURUS,0,0,,
2020,2,PURUS,0.31,0,0.125,0.083
2020,3,PURUS,0,0,,
2020,4,PURUS,0,0,,
2020,5,PURUS,0,0,,
2020,6,PURUS,0,0,,
2020,7,PURUS,0,0,,
2020,8,PURUS,0.636,0,,
2020,9,PURUS,0,0,,
2020,10,PURUS,0,0,,
2020,11,PURUS,0,0,,
2020,12,PURUS,0,0,,
2021,1,PURUS,0,0,,
2021,2,PURUS,0,0,,
2021,3,PURUS,0,0,,
2021,4,PURUS,0,0,,
2021,5,PURUS,0,0,,
2021,6,PURUS,0,0,,
2021,7,PURUS,0,0,,
2021,8,PURUS,0,0,,
2021,9,PURUS,0,0,,
2021,10,PURUS,0,0,,
2021,11,PURUS,0,0,,
2021,12,PURUS,0,0,,
2022,1,PURUS,0,0,,
2022,2,PURUS,0,0,,
2022,3,PURUS,0,0,,
2022,4,PURUS,0,0,,
2022,5,PURUS,0,0,,
2022,6,PURUS,0,0,,
2022,7,PURUS,0,0,,
2022,8,PURUS,0,0,,
2022,9,PURUS,0,0,,
2022,10,PURUS,0,0,,
2022,11,PURUS,0,0,,
2022,12,PURUS,0,0,,
