VACUNA,ANIO,MES,RANGO_EDAD,POBLACION,PROVINCIA,DISTRITO,PRESUPUESTO,CANTIDAD DE PERSONAL,CANTIDAD
AMA,2020,AGOSTO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,725676,9,1
AMA,2020,AGOSTO,1_ANIO,8264,ATALAYA,SEPAHUA,725676,16,4
AMA,2020,AGOSTO,1_ANIO,10219,PADRE ABAD,CURIMANA,725676,22,13
AMA,2020,AGOSTO,1_ANIO,10501,PADRE ABAD,NESHUYA,725676,27,15
AMA,2020,AGOSTO,1_ANIO,10618,ATALAYA,TAHUANIA,725676,26,0
AMA,2020,AGOSTO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,725676,48,25
AMA,2020,AGOSTO,1_ANIO,12065,PADRE ABAD,IRAZOLA,725676,44,5
AMA,2020,AGOSTO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,725676,39,14
AMA,2020,AGOSTO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,725676,58,33
AMA,2020,AGOSTO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,725676,107,4
AMA,2020,AGOSTO,1_ANIO,39732,ATALAYA,RAIMONDI,725676,98,16
AMA,2020,AGOSTO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,725676,139,55
AMA,2020,AGOSTO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,725676,411,79
AMA,2020,AGOSTO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,725676,663,148
AMA,2020,DICIEMBRE,1_ANIO,2435,ATALAYA,YURUA,161316,7,2
AMA,2020,DICIEMBRE,1_ANIO,3284,PURUS,PURUS,161316,17,5
AMA,2020,DICIEMBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,161316,31,10
AMA,2020,DICIEMBRE,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,161316,11,6
AMA,2020,DICIEMBRE,1_ANIO,8264,ATALAYA,SEPAHUA,161316,17,14
AMA,2020,DICIEMBRE,1_ANIO,10219,PADRE ABAD,CURIMANA,161316,19,12
AMA,2020,DICIEMBRE,1_ANIO,10501,PADRE ABAD,NESHUYA,161316,28,5
AMA,2020,DICIEMBRE,1_ANIO,10618,ATALAYA,TAHUANIA,161316,28,6
AMA,2020,DICIEMBRE,1_ANIO,11961,CORONEL PORTILLO,MASISEA,161316,47,31
AMA,2020,DICIEMBRE,1_ANIO,12065,PADRE ABAD,IRAZOLA,161316,47,9
AMA,2020,DICIEMBRE,1_ANIO,12350,CORONEL PORTILLO,IPARIA,161316,35,21
AMA,2020,DICIEMBRE,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,161316,56,30
AMA,2020,DICIEMBRE,1_ANIO,38100,PADRE ABAD,PADRE ABAD,161316,113,19
AMA,2020,DICIEMBRE,1_ANIO,39732,ATALAYA,RAIMONDI,161316,120,69
AMA,2020,DICIEMBRE,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,161316,151,84
AMA,2020,DICIEMBRE,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,161316,424,37
AMA,2020,DICIEMBRE,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,161316,679,155
AMA,2020,ENERO,1_ANIO,2435,ATALAYA,YURUA,777891,7,0
AMA,2020,ENERO,1_ANIO,3284,PURUS,PURUS,777891,17,3
AMA,2020,ENERO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,777891,22,2
AMA,2020,ENERO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,777891,8,4
AMA,2020,ENERO,1_ANIO,8264,ATALAYA,SEPAHUA,777891,14,0
AMA,2020,ENERO,1_ANIO,10219,PADRE ABAD,CURIMANA,777891,18,6
AMA,2020,ENERO,1_ANIO,10501,PADRE ABAD,NESHUYA,777891,24,15
AMA,2020,ENERO,1_ANIO,10618,ATALAYA,TAHUANIA,777891,24,0
AMA,2020,ENERO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,777891,44,20
AMA,2020,ENERO,1_ANIO,12065,PADRE ABAD,IRAZOLA,777891,42,7
AMA,2020,ENERO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,777891,41,7
AMA,2020,ENERO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,777891,61,18
AMA,2020,ENERO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,777891,91,14
AMA,2020,ENERO,1_ANIO,39732,ATALAYA,RAIMONDI,777891,84,3
AMA,2020,ENERO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,777891,124,56
AMA,2020,ENERO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,777891,375,61
AMA,2020,ENERO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,777891,572,119
AMA,2020,FEBRERO,1_ANIO,2435,ATALAYA,YURUA,761802,7,0
AMA,2020,FEBRERO,1_ANIO,3284,PURUS,PURUS,761802,17,7
AMA,2020,FEBRERO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,761802,22,5
AMA,2020,FEBRERO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,761802,8,5
AMA,2020,FEBRERO,1_ANIO,8264,ATALAYA,SEPAHUA,761802,14,3
AMA,2020,FEBRERO,1_ANIO,10219,PADRE ABAD,CURIMANA,761802,18,9
AMA,2020,FEBRERO,1_ANIO,10501,PADRE ABAD,NESHUYA,761802,25,23
AMA,2020,FEBRERO,1_ANIO,10618,ATALAYA,TAHUANIA,761802,24,0
AMA,2020,FEBRERO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,761802,44,12
AMA,2020,FEBRERO,1_ANIO,12065,PADRE ABAD,IRAZOLA,761802,43,8
AMA,2020,FEBRERO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,761802,43,2
AMA,2020,FEBRERO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,761802,61,10
AMA,2020,FEBRERO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,761802,91,30
AMA,2020,FEBRERO,1_ANIO,39732,ATALAYA,RAIMONDI,761802,85,26
AMA,2020,FEBRERO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,761802,125,30
AMA,2020,FEBRERO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,761802,379,70
AMA,2020,FEBRERO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,761802,574,75
AMA,2020,JULIO,1_ANIO,2435,ATALAYA,YURUA,804264,7,0
AMA,2020,JULIO,1_ANIO,3284,PURUS,PURUS,804264,17,1
AMA,2020,JULIO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,804264,22,0
AMA,2020,JULIO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,804264,8,1
AMA,2020,JULIO,1_ANIO,8264,ATALAYA,SEPAHUA,804264,14,0
AMA,2020,JULIO,1_ANIO,10219,PADRE ABAD,CURIMANA,804264,18,15
AMA,2020,JULIO,1_ANIO,10501,PADRE ABAD,NESHUYA,804264,24,19
AMA,2020,JULIO,1_ANIO,10618,ATALAYA,TAHUANIA,804264,24,0
AMA,2020,JULIO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,804264,44,17
AMA,2020,JULIO,1_ANIO,12065,PADRE ABAD,IRAZOLA,804264,42,1
AMA,2020,JULIO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,804264,41,22
AMA,2020,JULIO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,804264,61,20
AMA,2020,JULIO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,804264,91,10
AMA,2020,JULIO,1_ANIO,39732,ATALAYA,RAIMONDI,804264,84,6
AMA,2020,JULIO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,804264,124,61
AMA,2020,JULIO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,804264,375,58
AMA,2020,JULIO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,804264,572,95
AMA,2020,JUNIO,1_ANIO,2435,ATALAYA,YURUA,718822,6,1
AMA,2020,JUNIO,1_ANIO,3284,PURUS,PURUS,718822,17,6
AMA,2020,JUNIO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,718822,21,0
AMA,2020,JUNIO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,718822,7,0
AMA,2020,JUNIO,1_ANIO,8264,ATALAYA,SEPAHUA,718822,14,0
AMA,2020,JUNIO,1_ANIO,10219,PADRE ABAD,CURIMANA,718822,21,0
AMA,2020,JUNIO,1_ANIO,10501,PADRE ABAD,NESHUYA,718822,27,9
AMA,2020,JUNIO,1_ANIO,10618,ATALAYA,TAHUANIA,718822,23,0
AMA,2020,JUNIO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,718822,49,7
AMA,2020,JUNIO,1_ANIO,12065,PADRE ABAD,IRAZOLA,718822,42,9
AMA,2020,JUNIO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,718822,40,0
AMA,2020,JUNIO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,718822,58,15
AMA,2020,JUNIO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,718822,98,4
AMA,2020,JUNIO,1_ANIO,39732,ATALAYA,RAIMONDI,718822,92,16
AMA,2020,JUNIO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,718822,143,20
AMA,2020,JUNIO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,718822,382,15
AMA,2020,JUNIO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,718822,603,26
AMA,2020,MARZO,1_ANIO,2435,ATALAYA,YURUA,751336,7,0
AMA,2020,MARZO,1_ANIO,3284,PURUS,PURUS,751336,17,6
AMA,2020,MARZO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,751336,22,7
AMA,2020,MARZO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,751336,8,0
AMA,2020,MARZO,1_ANIO,8264,ATALAYA,SEPAHUA,751336,14,7
AMA,2020,MARZO,1_ANIO,10219,PADRE ABAD,CURIMANA,751336,18,9
AMA,2020,MARZO,1_ANIO,10501,PADRE ABAD,NESHUYA,751336,26,9
AMA,2020,MARZO,1_ANIO,10618,ATALAYA,TAHUANIA,751336,24,0
AMA,2020,MARZO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,751336,45,17
AMA,2020,MARZO,1_ANIO,12065,PADRE ABAD,IRAZOLA,751336,43,4
AMA,2020,MARZO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,751336,43,6
AMA,2020,MARZO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,751336,60,6
AMA,2020,MARZO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,751336,89,3
AMA,2020,MARZO,1_ANIO,39732,ATALAYA,RAIMONDI,751336,86,15
AMA,2020,MARZO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,751336,131,29
AMA,2020,MARZO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,751336,382,39
AMA,2020,MARZO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,751336,573,42
AMA,2020,MAYO,1_ANIO,2435,ATALAYA,YURUA,710703,7,0
AMA,2020,MAYO,1_ANIO,3284,PURUS,PURUS,710703,18,7
AMA,2020,MAYO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,710703,22,0
AMA,2020,MAYO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,710703,7,0
AMA,2020,MAYO,1_ANIO,8264,ATALAYA,SEPAHUA,710703,13,0
AMA,2020,MAYO,1_ANIO,10219,PADRE ABAD,CURIMANA,710703,20,0
AMA,2020,MAYO,1_ANIO,10501,PADRE ABAD,NESHUYA,710703,27,1
AMA,2020,MAYO,1_ANIO,10618,ATALAYA,TAHUANIA,710703,23,1
AMA,2020,MAYO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,710703,49,6
AMA,2020,MAYO,1_ANIO,12065,PADRE ABAD,IRAZOLA,710703,41,1
AMA,2020,MAYO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,710703,43,0
AMA,2020,MAYO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,710703,58,4
AMA,2020,MAYO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,710703,96,2
AMA,2020,MAYO,1_ANIO,39732,ATALAYA,RAIMONDI,710703,89,34
AMA,2020,MAYO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,710703,136,1
AMA,2020,MAYO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,710703,384,3
AMA,2020,MAYO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,710703,603,4
AMA,2020,NOVIEMBRE,1_ANIO,2435,ATALAYA,YURUA,1348304,7,0
AMA,2020,NOVIEMBRE,1_ANIO,3284,PURUS,PURUS,1348304,17,11
AMA,2020,NOVIEMBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,1348304,30,8
AMA,2020,NOVIEMBRE,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,1348304,11,5
AMA,2020,NOVIEMBRE,1_ANIO,8264,ATALAYA,SEPAHUA,1348304,17,45
AMA,2020,NOVIEMBRE,1_ANIO,10219,PADRE ABAD,CURIMANA,1348304,19,4
AMA,2020,NOVIEMBRE,1_ANIO,10501,PADRE ABAD,NESHUYA,1348304,27,17
AMA,2020,NOVIEMBRE,1_ANIO,10618,ATALAYA,TAHUANIA,1348304,28,0
AMA,2020,NOVIEMBRE,1_ANIO,11961,CORONEL PORTILLO,MASISEA,1348304,47,39
AMA,2020,NOVIEMBRE,1_ANIO,12065,PADRE ABAD,IRAZOLA,1348304,47,13
AMA,2020,NOVIEMBRE,1_ANIO,12350,CORONEL PORTILLO,IPARIA,1348304,35,14
AMA,2020,NOVIEMBRE,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,1348304,56,8
AMA,2020,NOVIEMBRE,1_ANIO,38100,PADRE ABAD,PADRE ABAD,1348304,111,35
AMA,2020,NOVIEMBRE,1_ANIO,39732,ATALAYA,RAIMONDI,1348304,120,89
AMA,2020,NOVIEMBRE,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,1348304,145,90
AMA,2020,NOVIEMBRE,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,1348304,421,123
AMA,2020,NOVIEMBRE,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,1348304,667,211
AMA,2020,OCTUBRE,1_ANIO,2435,ATALAYA,YURUA,858754,6,5
AMA,2020,OCTUBRE,1_ANIO,3284,PURUS,PURUS,858754,17,1
AMA,2020,OCTUBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,858754,30,27
AMA,2020,OCTUBRE,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,858754,11,3
AMA,2020,OCTUBRE,1_ANIO,8264,ATALAYA,SEPAHUA,858754,17,43
AMA,2020,OCTUBRE,1_ANIO,10219,PADRE ABAD,CURIMANA,858754,19,8
AMA,2020,OCTUBRE,1_ANIO,10501,PADRE ABAD,NESHUYA,858754,27,16
AMA,2020,OCTUBRE,1_ANIO,10618,ATALAYA,TAHUANIA,858754,28,3
