VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD_DE_PERSONAL,POBLACION,PRESUPUESTO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas,MES_NUM,CANTIDAD
AMA,2019,MARZO,1_ANIO,6.893657368800904,8.646465702867285,13.818721398693722,0.293,0.135,3.0425,0.5885,3,5.398167226394394
AMA,2019,ABRIL,1_ANIO,6.893657368800904,8.646465702867285,13.814006428328238,0.1445,0.597,0.877,0.313,4,5.891646974252895
AMA,2019,MAYO,1_ANIO,6.838406272658131,8.646465702867285,13.845190713036441,0.2259999999999999,0.3545,20.504,0.282,5,5.723588369920897
AMA,2019,JUNIO,1_ANIO,6.8426843494737115,8.646465702867285,14.026689215363136,0.186,0.438,2.0895,0.2175,6,5.47227487534332
AMA,2019,JULIO,1_ANIO,6.893657368800904,8.646465702867285,14.11715470617171,0.292,0.3685,14.760000000000002,0.212,7,5.209491617307365
AMA,2019,AGOSTO,1_ANIO,6.838406272658131,8.646465702867285,15.110246766887665,0.19,0.4795,3.29,0.1674999999999999,8,4.09436122874988
AMA,2019,SETIEMBRE,1_ANIO,6.849067343078282,8.646465702867285,11.359774297131064,0.136,0.494,25.7535,0.186,9,4.34381840878234
AMA,2019,OCTUBRE,1_ANIO,6.893657368800904,8.646465702867285,13.33637415319192,0.243,0.3379999999999999,11.2205,0.247,10,4.477348178050004
AMA,2019,NOVIEMBRE,1_ANIO,6.84161654485309,8.646465702867285,14.410929137244716,0.1755,0.405,8.0945,0.21,11,5.620404488898992
AMA,2019,DICIEMBRE,1_ANIO,6.8426843494737115,8.646465702867285,14.485051286360488,0.197,0.435,19.6735,0.2115,12,5.123969931766496
AMA,2020,ENERO,1_ANIO,7.346655807921657,7.797702446194224,13.564341691802975,0.1833333333333333,0.423,3.4973333333333336,0.2063333333333333,1,5.141669404438777
AMA,2020,FEBRERO,1_ANIO,7.354362970216537,7.797702446194224,13.543441959696858,0.2273333333333333,0.3796666666666666,8.130333333333335,0.182,2,5.075180065214296
AMA,2020,MARZO,1_ANIO,7.359468274792656,7.797702446194224,13.529608235484199,0.225,0.257,3.4586666666666672,0.7223333333333333,3,5.805137980960145
AMA,2020,ABRIL,1_ANIO,7.3537229706042915,7.797702446194224,13.611128652361893,0.3093333333333333,0.4043333333333334,0.0,0.0,4,5.73010302972155
AMA,2020,MAYO,1_ANIO,7.3889467156652175,7.797702446194224,13.47400990140351,0.4943333333333333,0.1786666666666666,0.0,0.0,5,5.262695370238613
AMA,2020,JUNIO,1_ANIO,7.393878905113717,7.797702446194224,13.485369041380835,0.4826666666666666,0.1493333333333333,0.0,0.0,6,2.833272165855592
AMA,2020,JULIO,1_ANIO,7.346655807921657,7.797702446194224,13.597682853715673,0.4073333333333333,0.2506666666666666,0.0,0.0,7,4.043068811540308
AMA,2020,AGOSTO,1_ANIO,7.45818673404159,7.797702446194224,13.494858914580224,0.4393333333333333,0.1376666666666667,0.0,0.0,8,4.8040292414209755
AMA,2020,SETIEMBRE,1_ANIO,7.45818673404159,7.797702446194224,13.527345703658753,0.2726666666666666,0.359,18.492,0.5363333333333333,9,5.7838282592480805
AMA,2020,OCTUBRE,1_ANIO,7.502738762326679,7.797702446194224,13.663237781605368,0.2776666666666667,0.2486666666666666,2.4446666666666665,0.3476666666666666,10,6.025868389281334
AMA,2020,NOVIEMBRE,1_ANIO,7.48885351501742,7.797702446194224,14.114358065058244,0.1949999999999999,0.2703333333333333,0.3736666666666666,0.257,11,6.232449981185135
AMA,2020,DICIEMBRE,1_ANIO,7.502738762326679,7.797702446194224,11.991120459441266,0.243,0.3193333333333333,0.8016666666666667,0.2873333333333333,12,6.559616653922834
AMA,2021,ENERO,1_ANIO,7.5021870384791525,7.8244463307176035,13.619871517025796,0.2656666666666666,0.1993333333333333,1.514,0.1913333333333333,1,6.552509313567096
AMA,2021,FEBRERO,1_ANIO,7.501082676745907,7.8244463307176035,13.425600836558248,0.1969999999999999,0.1793333333333333,0.2523333333333333,0.5203333333333333,2,6.234412686500763
AMA,2021,MARZO,1_ANIO,7.5087877188797405,7.8244463307176035,14.054323501416484,0.2766666666666666,0.2726666666666666,0.4446666666666667,1.0446666666666666,3,6.082221193478863
AMA,2021,ABRIL,1_ANIO,7.546974645220873,7.8244463307176035,12.499741763553693,0.194,0.118,9.826666666666666,0.4656666666666667,4,5.996454576178116
AMA,2021,MAYO,1_ANIO,7.533159342500898,7.8244463307176035,13.450264704204997,0.2386666666666666,0.2633333333333333,0.322,0.205,5,6.030687664104528
AMA,2021,JUNIO,1_ANIO,7.538495531611301,7.8244463307176035,13.4532457354388,0.204,0.3979999999999999,1.1183333333333334,0.7433333333333333,6,5.942801999795172
AMA,2021,JULIO,1_ANIO,7.540090851494812,7.8244463307176035,13.38123694261786,0.2763333333333334,0.399,2.0196666666666663,0.2416666666666667,7,5.996454576178116
AMA,2021,AGOSTO,1_ANIO,7.559038776819682,7.8244463307176035,13.353187757089165,0.2356666666666667,0.1786666666666666,3.763666666666667,0.471,8,5.877738582896164
AMA,2021,SETIEMBRE,1_ANIO,7.551187392782086,7.8244463307176035,13.432287747264946,0.2426666666666666,0.266,0.3876666666666666,0.1853333333333333,9,6.006355622652887
AMA,2021,OCTUBRE,1_ANIO,7.536364471737702,7.8244463307176035,13.325823271977082,0.3366666666666666,0.3176666666666666,3.731333333333333,0.5553333333333333,10,6.04500768370145
