CENTRO_SALUD,ANIO,DEPARTAMENTO,RANGO_EDAD,EFERMERDAD,MES,COBERTURA,CANTIDAD,PROVINCIA,DISTRITO,RED,MICRORRED,DESCRIPCION_ESTABLECIMIENTO,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO
SANIDAD AEREA,2019,UCAYALI,1_ANIO,APT,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,1_ANIO,APT,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,1_ANIO,APT,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,1_ANIO,APT,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,1_ANIO,NEUMO,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,1_ANIO,SPR,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,1_ANIO,VARI,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
